STABR;FSCSKEY;LIBID;LIBNAME;ADDRESS;CITY;ZIP;PHONE;VISITS;LONGITUDE;LATITUDE
AK;AK0001;AK0001-002;ANCHOR POINT PUBLIC LIBRARY;34020 NORTH FORK ROAD;ANCHOR POINT;99556;9072355692;6032;-151825;5977965
AK;AK0002;AK0002-011;ANCHORAGE PUBLIC LIBRARY;3600 DENALI STREET;ANCHORAGE;99503;9073432892;723272;-149876;6118744
AK;AK0003;AK0003-002;ANDERSON COMMUNITY LIBRARY;101 FIRST STREET;ANDERSON;99744;9075822628;592;-149187;6434363
AK;AK0006;AK0006-002;KUSKOKWIM CONSORTIUM LIBRARY;420 CHIEF EDDIE HOFFMAN HIGHWAY;BETHEL;99559;9075434516;51000;-161771;6079114
AK;AK0007;AK0007-002;BIG LAKE PUBLIC LIBRARY;3140 SOUTH BIG LAKE ROAD;BIG LAKE;99652;9078617635;62249;-149819;615475
AK;AK0008;AK0008-002;CANTWELL COMMUNITY LIBRARY;1 SCHOOL ROAD;CANTWELL;99729;9077682372;2500;-1489;633912
AK;AK0011;AK0011-002;CHINIAK PUBLIC LIBRARY;43318 SPRUCE WAY;CHINIAK;99615;9075120880;302;-152231;5761245
AK;AK0014;AK0014-002;COLD BAY PUBLIC LIBRARY;10 BARANOV ROAD;COLD BAY;99571;9075322878;1080;-160693;5569687
AK;AK0015;AK0015-002;COOPER LANDING COMMUNITY LIBRARY;18511 BEAN CREEK ROAD;COOPER LANDING;99572;9075951241;2452;-149823;6049404
AK;AK0016;AK0016-002;CORDOVA PUBLIC LIBRARY;601 FIRST STREET;CORDOVA;99574;9074246667;20844;-145758;6054716
AK;AK0017;AK0017-003;CRAIG PUBLIC LIBRARY;504 THIRD STREET;CRAIG;99921;9078263281;17353;-133151;5547607
AK;AK0018;AK0018-002;IPNATCHIAQ LIBRARY;59 MAIN STREET;DEERING;99736;9073632136;271;-162719;6607601
AK;AK0019;AK0019-002;DELTA COMMUNITY LIBRARY;2291 DEBORAH STREET;DELTA JUNCTION;99737;9078954102;45998;-145734;6404683
AK;AK0020;AK0020-002;DILLINGHAM PUBLIC LIBRARY;306 D STREET WEST;DILLINGHAM;99576;9078425610;23543;-158463;5904073
AK;AK0021;AK0021-002;EAGLE PUBLIC LIBRARY;4TH & AMUNDSEN;EAGLE;99738;9075472334;2601;-141201;6478661
AK;AK0023;AK0023-002;FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES;1215 COWLES STREET;FAIRBANKS;99701;9074591022;391676;-147738;6483893
AK;AK0025;AK0025-002;CHARLES EVANS COMMUNITY/SCHOOL LIBRARY;299 ANTOSKI ROAD;GALENA;99741;9076561883;3238;-156878;6474586
